Viti,Muaji,Pershkrimi,Statusi,Komuna,Tatimpaguesit,Blerjet dhe importet investive pa TVSH,Blerjet dhe importet investive me TVSH jo te zbritshme,Importet investive me norme 18%,Importet investive me norme 8%,Blerjet investive vendore me norme 18%,Blerjet investive vendore me norme 8%
2019,1,5,20,26,54,0.0,0.0,0.0,0.0,330.61,555.56
2019,1,5,0,27,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,27,26,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,14,27,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,20,27,5,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,28,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,20,28,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,30,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,33,7,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,20,33,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,34,5,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,35,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,14,35,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,6,20,26,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,5,2,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,20,2,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,5,3,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,20,3,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,5,4,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,11,4,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,14,4,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,20,4,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,5,5,3,0.0,0.0,0.0,0.0,0.0,127.7
2019,1,7,7,5,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,20,5,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,22,5,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,5,6,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,7,6,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,5,7,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,20,7,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,22,7,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,20,9,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,5,11,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,20,11,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,13,12,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,14,13,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,20,13,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,20,16,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,22,16,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,20,17,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,5,19,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,22,20,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,20,22,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,5,24,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,14,24,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,20,24,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,5,26,16,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,8,26,5,0.0,67.79,0.0,0.0,1220.36,129.63
2019,1,7,20,26,67,92692.82,50098.25,0.0,0.0,32457.63,1435.65
2019,1,7,5,27,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,20,27,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,5,28,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,5,32,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,20,32,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,20,33,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,20,34,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,5,35,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,7,20,35,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,0,5,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,1,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,1,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,2,22,0.0,0.0,0.0,0.0,4444.92,0.0
2019,1,8,17,2,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,2,33,0.0,0.0,4870.44,0.0,30357.43,0.0
2019,1,8,5,3,12,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,19,3,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,3,32,0.0,0.0,11254.0,0.0,39.83,0.0
2019,1,8,5,4,19,11502.0,0.0,0.0,0.0,296.61,0.0
2019,1,8,20,4,20,0.0,650.0,0.0,0.0,0.0,0.0
2019,1,8,5,5,16,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,7,5,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,17,5,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,5,32,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,22,5,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,6,9,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,6,6,1700.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,7,8,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,7,13,3800.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,22,7,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,9,5,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,9,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,11,5,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,17,11,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,11,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,12,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,12,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,13,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,17,13,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,13,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,14,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,15,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,15,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,16,7,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,16,8,0.0,0.0,0.0,0.0,5577.22,0.0
2019,1,8,5,17,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,17,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,1,19,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,19,17,0.0,0.0,0.0,0.0,6030.0,0.0
2019,1,8,7,19,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,19,8,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,20,6,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,21,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,22,5,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,22,22,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,24,29,11.1,0.0,0.0,0.0,17711.87,112.51
2019,1,8,7,24,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,17,24,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,24,22,3132.97,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,25,8,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,25,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,23,25,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,2,26,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,7,26,41,51.44,0.0,0.0,0.0,3523.04,592.61
2019,1,8,13,26,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,17,26,25,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,19,26,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,22,26,4,1600.0,0.0,0.0,0.0,8609.14,71.0
